sporcare	187-614-B
sporcizia	69-1402-B,79-2941-B,176-1028-B
sporco	50-2718-B,69-1490-B,73-348-B,79-2986-B,80-1886-B,113-364-B,117-2541-B,177-539-B
sporgente	126-298-S,144-2052-B,144-2185-B,144-2255-B
sporgenza	143-1384-B,144-2142-B
sporgere	101-2962-B
sport	179-1142-B
sportello	42-326-B,83-2119-B,213-3087-B
sportivo	15-15-B,135-1955-S,179-1166-B,179-1219-S,179-1248-B,179-1267-B,179-1290-B
sporto	19-621-B
sposa	24-1439-B,179-1598-B,213-1695-B
sposalizio	110-1949-B,211-3169-B
sposare	110-2100-B,211-3092-B
sposarsi	110-2114-B
sposata	110-1988-B
sposato	110-2004-B,211-3121-B
sposo	24-1472-B,80-502-B,87-2865-B,179-1611-B
spossare	195-2604-B
spossato	195-2676-B
spostamento	52-982-B,54-1989-B,117-2258-B,153-2989-B,154-665-B,169-1780-B,169-1873-B,198-1843-B
spostare	47-1161-B,52-915-B,117-2128-B,153-2951-B,169-1798-B,198-68-B,198-1804-B
spranga	18-636-B,22-2931-B,43-2143-B
spray	179-1782-B,179-1900-B
sprazzo	77-803-B
sprecare	211-136-B
spreco	180-731-B,210-3245-B,211-151-B
sprecone	180-665-B,211-256-B
spremere	65-2686-B,141-672-B,180-1305-B,215-2736-B
spremitoio	180-1358-B
