doplnit	6-2788-B,11-2316-B,14-1878-B,46-847-B,186-3027-B,190-2236-B,236-2165-B,236-2606-B
doplnkovy	6-3406-B,46-744-B,236-2323-B
doplnky	4-2133-B,12-3356-B,89-2137-B
doplnok	6-3106-B,11-2411-B,46-677-B,92-490-B,236-2185-B
doplnovat	236-2204-B
doplnujuci	234-1162-B
dopoludnia	13-1493-B
dopoludnie	13-1518-B,93-1403-B,114-2520-B,146-3288-B,244-2806-B
doporuceny	187-2182-B
doporucit	8-1695-B,185-1471-B
doporuecnie	45-47-B,54-1261-B,101-1880-B,185-1578-B,185-1635-B,186-2722-B,186-2981-B
doposial	229-1916-B
doprava	35-1622-B,51-1430-B,94-1125-B,95-749-B,195-1846-B,247-1229-B,249-905-B,250-1079-B,250-1342-B
dopravca	35-1851-B
dopravit	35-2000-B,51-1273-B,86-3081-B,94-810-B,249-2664-B,250-1097-B
dopravne	95-765-B,95-817-B,107-311-B
dopravnik	74-3243-B
dopravny	147-1792-B
dopravny pas	51-1584-B
dopravny prostriedok	51-1449-B
dopravovat	35-2016-B,51-1290-B,107-183-B,250-1117-B
dopredaj	41-2214-B
dopredu	8-628-B,9-2353-B,23-1339-B,93-3473-B,94-828-B,94-1144-B,114-1771-B,158-2778-B
dopriat	102-1315-B
dopriat si	8-3248-B,115-4108-B
doprovod	4-3010-B,4-3056-B,47-3077-B,77-3694-B,78-3433-B,104-1284-B,193-3215-B,249-1094-B
dopustit	10-2650-B,129-391-B
dopustit sa	45-822-B,167-3510-B
dopyt	61-2760-B,77-1777-B,117-1072-B,119-954-B
doraz	4-1127-B,4-1384-B,75-2771-B,231-3490-B
dorazit	16-1053-B,88-2083-B,88-2367-B,183-2201-B
dorazne	75-2940-B
dorazny	75-2921-B,93-669-B,232-2905-B,262-149-B
dorobit	46-865-B,88-2099-B,99-989-B
dorozumenie	45-1781-B,255-3312-B
dorozumievat sa	45-1661-B
dorsalny	69-3126-B
dorucenie	61-2409-B,208-3495-B
dorucit	35-2034-B,61-2148-B,105-2128-B,105-2290-B,208-3346-B,250-680-B
dorucitel	22-2791-B
dorucovat	61-2166-B
dorucovatel	35-1868-B
dosadit	14-2997-B
dosah	181-1743-B,182-1157-B,183-2216-B,223-1508-B,238-590-B
dosahovat	5-2166-B,135-2153-B,183-2228-B,183-2434-B
dosazitelny	19-2242-B
dosiahnut	4-3261-B,5-2185-B,5-2222-B,5-3608-B,18-1797-B,37-3366-B,44-3171-B,99-395-B,135-2169-B,156-2484-B,175-3596-B,183-2245-B,203-1481-B,205-3185-B
dosiahnutelny	4-1930-B,5-2102-B,44-2505-B
dosiahnutie	5-2290-B,5-2374-B,5-3740-B,18-1836-B,156-2672-B
