強姦罪 ごうかんざい	240-3871-B
強度 きょうど	161-5800-B,291-4930-B
強引 ごういん	53-3460-B,123-3453-B,237-3518-B
強引に ごういんに	123-3632-B
強弱 きょうじゃく	226-5273-B,291-4961-B
強張る こわばる	289-2116-B
強情 ごうじょう	203-1493-B,293-67-B
強意 きょうい	100-236-B
強慢 ごうまん	18-5955-B,141-4234-B,148-2325-B,160-1723-B
強慾 ごうよく	23-3620-B,136-3219-B
強暴 きょうぼう	37-3752-B
強欲 ごうよく	23-3650-B,136-3247-B
強気 ごうぎ	135-2218-B,292-5620-B
強気 つよき	119-4340-B,292-3392-B
