arbour	17-3256-B
arc	17-3285-B,17-3299-B,17-3322-B,17-3336-B
arcade	17-3359-B
arch	17-3382-B,17-3403-B
archaeology	17-3430-B
archaeopteryx	17-3470-B
archaic	17-3512-B
archaism	17-3539-B,17-3567-B
archangel	17-3607-B
archbishop	17-3645-B
archer	17-3687-B,17-3710-B,17-3739-B
archery	17-3768-B,17-3795-B
archetypal	17-3825-B,17-3858-B
archimandrite	17-3891-B
archipelago	17-3960-B,17-4000-B,17-4034-B
architect	17-4068-B,17-4106-B
architecture	17-4147-B,17-4182-B,17-4220-B,17-4255-B,17-4299-B
architrave	17-4334-B
archive	17-4364-B
archivist	17-4388-B
ardent	17-4429-B,17-4452-B,17-4472-B
ardently	17-4501-B
ardor	17-4529-B,17-4563-B,17-4591-B
ardour	17-4616-B,17-4642-B,17-4674-B,17-4700-B
area	17-4726-B,17-4741-B,17-4765-B,17-4789-B,17-4813-B,17-4837-B,17-4861-B,17-4885-B,17-4903-B,17-4930-B
arena	17-4960-B,17-4979-B,17-5007-B
argot	17-5044-B
argue	17-5084-B,17-5112-B,17-5140-B,17-5171-B,17-5199-B,17-5236-B,17-5264-B
argument	17-5295-B,17-5326-B,17-5366-B,17-5397-B,17-5437-B,17-5468-B,17-5505-B,17-5530-B,17-5573-B,17-5604-B,17-5635-B,17-5666-B
argumentative	17-5694-B,17-5742-B
argyle	17-5793-B
aria	17-5816-B,17-5831-B
arid	17-5861-B
arise	17-5888-B,17-5928-B,17-5968-B,17-6005-B,17-6042-B,17-6082-B,17-6119-B,17-6153-B
arista	17-6187-B
aristocracy	17-6207-B,17-6244-B,17-6278-B
aristocrat	17-6324-B,17-6360-B,17-6390-B
aristocratic	18-0-B
arithmetic	18-41-B,18-74-B,18-107-B,18-140-B
arm	18-176-B,292-3671-S
armada	18-190-B
armadillo	18-219-B
armament	18-245-B,18-273-B
armature	18-301-B,18-338-B
armchair	18-372-B
armful	18-400-B,18-429-B
armhole	18-455-B
armistice	18-488-B,18-523-B
armor	18-555-B,18-574-B,18-599-B,18-624-B,18-646-B,18-674-B
armory	18-696-B,18-728-B,18-766-B,18-798-B,18-827-B,18-850-B
armoury	18-891-B
armpit	18-939-B,18-965-B
